date,open,high,low,close,volume
2022-11-14 18:30:00,703.5,706.0,698.0,702.5,7195210.0
2022-11-15 18:30:00,701.0,703.5,685.0,689.5,13362040.0
2022-11-16 18:30:00,687.0,695.0,683.0,689.5,7339440.0
2022-11-17 18:30:00,691.0,693.0,675.0,679.0,13276890.0
2022-11-20 18:30:00,675.0,675.0,661.0,668.0,10717480.0
2022-11-21 18:30:00,668.0,673.0,666.0,668.5,9587690.0
2022-11-22 18:30:00,672.0,680.5,669.0,678.0,8936670.0
2022-11-23 18:30:00,681.5,684.0,674.0,677.0,7546110.0
2022-11-24 18:30:00,677.0,678.0,667.5,675.0,8590580.0
2022-11-27 18:30:00,673.0,683.0,673.0,678.0,6040540.0
2022-11-28 18:30:00,677.5,681.0,672.0,673.5,6818600.0
2022-11-29 18:30:00,673.5,675.5,668.0,672.0,14828310.0
2022-11-30 18:30:00,675.5,677.0,671.0,675.0,9816160.0
2022-12-01 18:30:00,673.0,674.0,665.0,667.5,14386020.0
2022-12-04 18:30:00,667.5,670.0,663.0,666.0,10292500.0
2022-12-05 18:30:00,667.5,673.5,663.0,670.0,8409800.0
2022-12-06 18:30:00,672.5,672.5,660.0,662.5,9610270.0
2022-12-07 18:30:00,668.0,668.0,656.0,658.0,11377840.0
2022-12-08 18:30:00,660.0,662.0,649.0,652.0,11312920.0
2022-12-11 18:30:00,651.0,654.0,639.0,651.0,11000480.0
2022-12-12 18:30:00,651.0,665.0,651.0,662.0,9586360.0
2022-12-13 18:30:00,666.0,669.0,663.0,665.5,6782830.0
2022-12-14 18:30:00,663.0,671.5,660.5,662.5,8577060.0
2022-12-15 18:30:00,659.0,669.5,656.0,660.0,8802330.0
2022-12-18 18:30:00,660.0,670.5,660.0,669.0,6595590.0
2022-12-19 18:30:00,666.0,670.0,658.5,664.0,6077160.0
2022-12-20 18:30:00,669.5,669.5,650.5,653.0,6223900.0
2022-12-21 18:30:00,657.0,657.5,641.0,649.0,8497060.0
2022-12-22 18:30:00,645.0,646.5,634.0,637.5,9943030.0
2022-12-25 18:30:00,637.5,647.0,630.0,643.0,5305350.0
2022-12-26 18:30:00,646.5,653.0,643.0,650.5,7810350.0
2022-12-27 18:30:00,647.5,657.0,646.5,647.5,7559340.0
2022-12-28 18:30:00,644.0,652.0,640.0,651.0,5218800.0
2022-12-29 18:30:00,655.0,672.0,651.5,657.5,15202660.0
2023-01-01 18:30:00,656.5,661.0,648.5,655.5,5793400.0
2023-01-02 18:30:00,656.5,666.0,653.0,660.5,7420810.0
2023-01-03 18:30:00,659.5,664.0,655.0,657.0,6712530.0
2023-01-04 18:30:00,649.0,649.0,602.5,610.0,51023000.0
2023-01-05 18:30:00,613.0,614.0,594.0,598.0,29319220.0
2023-01-08 18:30:00,602.0,608.0,595.5,599.0,14005480.0
2023-01-09 18:30:00,600.0,601.5,587.5,590.5,11203750.0
2023-01-10 18:30:00,593.0,595.0,586.5,589.5,11088910.0
2023-01-11 18:30:00,591.0,596.5,586.0,590.0,14769490.0
2023-01-12 18:30:00,592.0,598.5,587.0,598.0,11084900.0
2023-01-15 18:30:00,600.0,607.0,597.5,601.0,9083390.0
2023-01-16 18:30:00,602.0,602.0,594.0,598.5,8170050.0
2023-01-17 18:30:00,600.5,605.0,598.5,600.0,7962810.0
2023-01-18 18:30:00,598.0,603.0,596.0,601.0,5481420.0
2023-01-19 18:30:00,601.0,602.0,584.0,586.0,8330900.0
2023-01-22 18:30:00,588.0,593.5,584.0,586.0,8560640.0
2023-01-23 18:30:00,589.0,592.0,584.0,585.5,6081450.0
2023-01-24 18:30:00,585.0,585.5,578.0,579.5,8278370.0
2023-01-26 18:30:00,581.5,586.0,568.0,576.0,16213520.0
2023-01-29 18:30:00,577.0,606.5,577.0,602.0,24481600.0
2023-01-30 18:30:00,605.0,605.0,587.5,589.0,19967880.0
2023-01-31 18:30:00,594.5,598.0,571.0,582.0,26348660.0
2023-02-01 18:30:00,582.0,582.0,564.5,572.0,20250440.0
2023-02-02 18:30:00,577.0,603.0,575.0,601.5,14868920.0
2023-02-05 18:30:00,600.0,612.5,595.5,610.5,10738200.0
2023-02-06 18:30:00,612.0,618.0,610.0,616.0,14721930.0
2023-02-07 18:30:00,616.5,638.0,616.0,635.0,19032080.0
2023-02-08 18:30:00,637.5,649.0,633.5,645.5,18381540.0
2023-02-09 18:30:00,645.5,653.0,642.0,643.5,12912820.0
2023-02-12 18:30:00,643.5,647.0,630.0,634.5,7365570.0
2023-02-13 18:30:00,635.5,647.0,631.0,646.0,10340900.0
2023-02-14 18:30:00,645.0,649.5,640.0,649.0,6189790.0
2023-02-15 18:30:00,650.5,652.5,642.0,644.0,5290480.0
2023-02-16 18:30:00,641.0,647.5,637.0,642.0,6160440.0
2023-02-19 18:30:00,642.5,644.0,634.0,637.0,4657320.0
2023-02-20 18:30:00,639.5,641.0,635.0,638.0,4485090.0
2023-02-21 18:30:00,633.0,636.0,618.5,620.0,9347000.0
2023-02-22 18:30:00,621.5,626.0,612.0,620.0,8097680.0
2023-02-23 18:30:00,625.5,628.5,620.0,623.5,6077610.0
2023-02-26 18:30:00,621.5,624.0,613.5,619.5,5950040.0
2023-02-27 18:30:00,622.0,625.0,609.0,611.0,9778520.0
2023-02-28 18:30:00,610.0,620.5,610.0,615.5,5448040.0
2023-03-01 18:30:00,616.5,621.0,607.0,608.0,5822980.0
2023-03-02 18:30:00,612.0,614.0,607.0,610.0,7120370.0
2023-03-05 18:30:00,614.0,618.0,612.0,613.5,6084770.0
2023-03-07 18:30:00,613.0,613.0,598.5,600.0,13427950.0
2023-03-08 18:30:00,600.0,604.0,589.0,590.0,9408580.0
2023-03-09 18:30:00,586.5,589.0,578.0,587.5,7708610.0
2023-03-12 18:30:00,587.0,595.0,581.0,583.0,7933560.0
2023-03-13 18:30:00,584.0,585.0,571.5,573.0,13725650.0
2023-03-14 18:30:00,580.0,582.0,570.0,572.0,6794730.0
2023-03-15 18:30:00,573.0,575.5,566.5,571.5,8849630.0
2023-03-16 18:30:00,574.0,582.0,569.0,573.0,10471510.0
2023-03-19 18:30:00,574.0,574.0,548.5,555.0,17127560.0
2023-03-20 18:30:00,560.0,571.5,558.5,571.0,11301140.0
2023-03-21 18:30:00,575.0,586.0,573.5,583.5,12425340.0
2023-03-22 18:30:00,581.0,590.0,577.0,583.0,10544190.0
2023-03-23 18:30:00,580.5,583.0,563.0,565.0,12780420.0
2023-03-26 18:30:00,570.0,572.5,558.5,559.0,11187430.0
2023-03-27 18:30:00,562.0,562.5,552.0,553.5,9481360.0
2023-03-28 18:30:00,556.0,564.5,555.5,562.5,11096120.0
2023-03-30 18:30:00,569.5,569.5,558.5,562.0,12678280.0
2023-04-02 18:30:00,565.5,573.5,563.0,571.5,7453860.0
2023-04-04 18:30:00,583.0,595.0,574.0,576.0,24333290.0
2023-04-05 18:30:00,576.0,596.0,570.5,593.0,17405020.0
2023-04-09 18:30:00,594.5,597.0,581.0,583.0,9282570.0
2023-04-10 18:30:00,586.0,588.0,581.0,584.0,8116200.0
2023-04-11 18:30:00,584.0,588.0,578.5,586.0,10230690.0
2023-04-12 18:30:00,586.0,594.0,585.0,590.5,8330060.0
2023-04-16 18:30:00,600.0,600.0,590.0,596.0,6728570.0
2023-04-17 18:30:00,597.5,599.5,587.0,591.5,6408890.0
2023-04-18 18:30:00,591.5,596.0,588.0,595.0,5549280.0
2023-04-19 18:30:00,596.0,596.5,588.5,591.0,4367310.0
2023-04-20 18:30:00,591.0,594.5,583.0,594.0,6431010.0
2023-04-23 18:30:00,594.0,596.5,588.0,593.5,5448920.0
2023-04-24 18:30:00,596.0,609.0,593.0,607.5,14944750.0
2023-04-25 18:30:00,610.0,612.0,601.0,605.5,9740070.0
2023-04-26 18:30:00,607.5,625.5,606.5,620.0,28271360.0
2023-04-27 18:30:00,624.5,629.5,611.0,628.0,14896680.0
2023-05-01 18:30:00,633.0,633.5,622.5,625.0,9912540.0
2023-05-02 18:30:00,624.0,625.5,615.5,618.0,6682510.0
